month,pct,items,actual_cost
2010-10-01,06D,14,265.17
2010-10-01,99D,8,124.82
2010-10-01,04E,8,336.16
2010-10-01,99K,60,2008.53
2010-10-01,02G,61,1952.0899999999997
2010-10-01,209,3,26.76
2010-10-01,01H,68,1864.7099999999998
2010-10-01,10K,47,836.8499999999999
2010-10-01,07N,80,3577.9500000000003
2010-10-01,03Q,55,1395.7599999999998
2010-10-01,10X,21,400.61
2010-10-01,10J,82,2203.8399999999997
2010-10-01,01D,79,2083.9200000000005
2010-10-01,08J,34,856.1700000000001
2010-10-01,01V,51,2094.6099999999997
2010-10-01,08C,182,4434.41
2010-10-01,11E,25,596.87
2010-10-01,04D,23,1251.23
2010-10-01,10E,18,910.9000000000001
2010-10-01,12D,35,1305.45
2010-10-01,00Y,152,3472.2799999999993
2010-10-01,04L,4,205.96
2010-10-01,5LE,1,41.93
2010-10-01,02A,33,1114.43
2010-10-01,05D,8,238.32
2010-10-01,02T,49,1454.55
2010-10-01,10L,77,2954.37
2010-10-01,10Q,67,2570.9599999999996
2010-10-01,99A,278,9682.0
2010-10-01,11M,106,3420.06
2010-10-01,09A,70,2544.6499999999996
2010-10-01,08X,84,1987.1100000000004
2010-10-01,06A,30,709.7
2010-10-01,01A,116,3353.37
2010-10-01,06Q,205,4787.710000000001
2010-10-01,02H,139,6190.349999999999
2010-10-01,03W,22,586.35
2010-10-01,13T,101,2800.8899999999994
2010-10-01,08E,96,2267.0900000000006
2010-10-01,02Q,3,144.84
2010-10-01,15D,149,4697.459999999999
2010-10-01,05R,1,6.58
2010-10-01,05J,9,258.94
2010-10-01,00V,93,2503.88
2010-10-01,08M,156,3269.54
2010-10-01,03H,18,696.4100000000001
2010-10-01,08T,8,175.45999999999998
2010-10-01,05V,28,699.08
2010-10-01,02F,32,951.3500000000001
2010-10-01,00C,13,337.32
2010-10-01,99J,227,6605.949999999998
2010-10-01,05L,147,4238.29
2010-10-01,06P,57,2137.0599999999995
2010-10-01,01F,51,1829.0000000000002
2010-10-01,NTP,3,19.14
2010-10-01,02P,49,1473.01
2010-10-01,07R,111,3382.06
2010-10-01,11J,114,1573.0800000000002
2010-10-01,08G,56,1597.72
2010-10-01,08A,68,2292.4699999999993
2010-10-01,04N,1,106.68
2010-10-01,07K,103,1485.41
2010-10-01,01K,40,1111.56
2010-10-01,08D,139,2834.06
2010-10-01,03F,29,1270.8
2010-10-01,05C,19,735.71
2010-10-01,00M,36,1002.86
2010-10-01,03V,4,182.95999999999998
2010-10-01,01R,14,630.05
2010-10-01,09C,6,350.53999999999996
2010-10-01,99Q,71,2150.45
2010-10-01,01E,100,2329.05
2010-10-01,02M,70,2339.3799999999997
2010-10-01,08Y,47,1351.7400000000002
2010-10-01,07J,41,1292.8899999999999
2010-10-01,5P7,1,22.89
2010-10-01,02Y,34,919.54
2010-10-01,04R,11,451.71000000000004
2010-10-01,04V,24,787.6600000000001
2010-10-01,14Y,162,4516.63
2010-10-01,99F,34,1007.33
2010-10-01,11X,41,1291.76
2010-10-01,04C,31,1223.8700000000001
2010-10-01,05H,6,122.08000000000001
2010-10-01,00N,18,370.34
2010-10-01,04Q,19,399.83000000000004
2010-10-01,99H,43,1609.4700000000003
2010-10-01,NQ7,1,19.08
2010-10-01,03T,47,848.6800000000001
2010-10-01,99N,68,2477.85
2010-10-01,03A,99,2136.1600000000003
2010-10-01,06M,55,1292.9
2010-10-01,07V,89,2288.5199999999995
2010-10-01,07H,56,2059.8799999999997
2010-10-01,04M,1,196.55
2010-10-01,03D,17,360.42999999999995
2010-10-01,09W,129,3230.7
2010-10-01,06L,44,708.1000000000001
2010-10-01,02E,11,432.66
2010-10-01,09N,32,1244.61
2010-10-01,08N,87,2637.6799999999994
2010-10-01,05W,57,1969.1000000000001
2010-10-01,06W,57,1365.4200000000003
2010-10-01,09J,79,2982.6999999999994
2010-10-01,09P,49,1336.78
2010-10-01,04K,10,271.12
2010-10-01,07Q,49,1241.5200000000002
2010-10-01,07M,257,6664.9400000000005
2010-10-01,07P,280,6673.459999999999
2010-10-01,00Q,26,785.4499999999999
2010-10-01,00J,3,53.42
2010-10-01,5M1,1,45.74
2010-10-01,09Y,70,2008.0099999999998
2010-10-01,10V,38,934.49
2010-10-01,01C,55,2201.02
2010-10-01,00L,64,1738.1299999999999
2010-10-01,00P,43,1116.0900000000001
2010-10-01,00R,58,1776.0400000000002
2010-10-01,10C,3,144.84
2010-10-01,05X,34,1132.33
2010-10-01,10D,109,1682.4599999999998
2010-10-01,01G,99,2707.1300000000006
2010-10-01,04J,21,312.82
2010-10-01,07G,32,1108.47
2010-10-01,01T,62,1770.4199999999998
2010-10-01,03E,18,531.6700000000001
2010-10-01,99P,371,10013.95
2010-10-01,01J,67,2944.9099999999994
2010-10-01,10R,84,1475.37
2010-10-01,06F,61,2488.39
2010-10-01,01W,61,1947.28
2010-10-01,03Y,3,156.26
2010-10-01,99G,97,2619.1399999999994
2010-10-01,05N,36,898.1
2010-10-01,03J,40,1462.6399999999999
2010-10-01,99M,32,963.0699999999999
2010-10-01,03K,28,491.04
2010-10-01,05F,33,819.7600000000001
2010-10-01,08H,128,2970.13
2010-10-01,08Q,98,2398.88
2010-10-01,5MX,1,19.08
2010-10-01,413,1,53.36
2010-10-01,08V,131,3071.9800000000005
2010-10-01,00D,34,1048.5399999999997
2010-10-01,08P,79,2992.93
2010-10-01,02X,11,394.58
2010-10-01,11N,133,3686.1500000000005
2010-10-01,05A,14,211.84999999999997
2010-10-01,99E,102,3143.959999999999
2010-10-01,03R,99,3204.79
2010-10-01,07Y,144,4478.79
2010-10-01,12F,36,1006.72
2010-10-01,08F,127,4620.34
2010-10-01,01X,48,1719.8899999999996
2010-10-01,05Q,65,1021.2600000000001
2010-10-01,08R,27,1585.35
2010-10-01,15C,267,6813.129999999997
2010-10-01,99C,49,2111.7
2010-10-01,5M3,5,251.55
2010-10-01,05G,26,1217.7700000000002
2010-10-01,07L,104,3145.67
2010-10-01,06K,212,6147.28
2010-10-01,03N,17,346.01
2010-10-01,09F,74,2393.87
2010-10-01,15A,118,3879.2700000000004
2010-10-01,09X,73,2819.0400000000004
2010-10-01,09D,50,1700.5000000000002
2010-10-01,05Y,53,1091.03
2010-10-01,00K,37,1401.39
2010-10-01,06N,198,4813.99
2010-10-01,07W,156,4393.239999999999
2010-10-01,01Y,60,1498.5700000000002
2010-10-01,08W,133,3710.13
2010-10-01,02N,32,751.3799999999999
2010-10-01,10A,67,1927.55
2010-10-01,09E,58,1887.2199999999998
2010-10-01,14L,224,7464.38
2010-10-01,04F,75,3290.1800000000003
2010-10-01,06T,128,2855.94
2010-11-01,99C,33,1416.7600000000002
2010-11-01,209,1,26.71
2010-11-01,04R,16,663.49
2010-11-01,00R,50,1348.71
2010-11-01,03F,19,856.12
2010-11-01,00T,165,7325.180000000001
2010-11-01,05N,25,995.3000000000002
2010-11-01,07P,266,6039.63
2010-11-01,02T,55,1614.17
2010-11-01,06D,25,686.5799999999999
2010-11-01,06Y,28,665.9599999999999
2010-11-01,14Y,172,4541.82
2010-11-01,NEN,1,11.5
2010-11-01,08V,156,3235.2599999999998
2010-11-01,02R,68,2283.38
2010-11-01,02G,50,1224.8600000000001
2010-11-01,14L,182,6264.460000000001
2010-11-01,10V,30,750.61
2010-11-01,01G,91,2806.12
2010-11-01,08F,103,4518.47
2010-11-01,13T,110,3246.5100000000007
2010-11-01,11A,55,1432.8300000000002
2010-11-01,99A,216,7650.6
2010-11-01,00X,67,2058.08
2010-11-01,04L,2,45.94
2010-11-01,10E,34,1432.03
2010-11-01,5M1,1,45.76
2010-11-01,09L,46,1255.59
2010-11-01,5K5,26,416.22
2010-11-01,00K,22,1044.85
2010-11-01,02X,5,55.419999999999995
2010-11-01,03X,3,99.18
2010-11-01,10Q,77,3133.7400000000002
2010-11-01,07N,49,2088.4800000000005
2010-11-01,05C,16,575.93
2010-11-01,00V,70,2012.4299999999998
2010-11-01,00N,20,429.96
2010-11-01,08E,82,1955.6599999999999
2010-11-01,02P,40,1598.56
2010-11-01,06P,33,1568.31
2010-11-01,11N,94,2735.7
2010-11-01,01T,51,1954.68
2010-11-01,RY2,1,3.84
2010-11-01,06V,15,899.03
2010-11-01,08J,22,753.33
2010-11-01,10X,15,366.31
2010-11-01,11E,27,650.6099999999999
2010-11-01,05Y,42,1163.63
2010-11-01,04Q,17,543.64
2010-11-01,05R,5,122.07
2010-11-01,01E,101,2171.89
2010-11-01,10J,73,1911.29
2010-11-01,05W,38,1447.3899999999999
2010-11-01,08L,110,2508.3599999999997
2010-11-01,01R,11,233.95000000000002
2010-11-01,06T,114,3484.62
2010-11-01,99F,19,579.28
2010-11-01,00C,8,501.15
2010-11-01,99P,296,9026.250000000002
2010-11-01,08G,85,2392.0900000000006
2010-11-01,99J,240,7606.96
2010-11-01,08W,148,4244.060000000001
2010-11-01,05Q,42,1064.58
2010-11-01,00M,42,1023.7400000000001
2010-11-01,05G,23,724.77
2010-11-01,02W,20,890.4499999999999
2010-11-01,02M,63,2046.5000000000002
2010-11-01,5MX,2,101.05
2010-11-01,10K,34,640.86
2010-11-01,03V,4,205.91
2010-11-01,11M,157,4385.240000000001
2010-11-01,11J,131,2088.13
2010-11-01,01A,104,3031.7000000000007
2010-11-01,04V,11,408.35999999999996
2010-11-01,08C,115,3286.68
2010-11-01,09C,3,72.45
2010-11-01,04K,6,204.07
2010-11-01,03D,11,386.28000000000003
2010-11-01,02E,21,568.0999999999999
2010-11-01,09P,67,2213.19
2010-11-01,00J,6,106.88999999999999
2010-11-01,02H,158,6268.1900000000005
2010-11-01,NW0,4,30.61
2010-11-01,03M,16,277.93
2010-11-01,08A,88,3064.7699999999995
2010-11-01,06K,185,5172.9400000000005
2010-11-01,08Q,74,2283.88
2010-11-01,5M3,2,160.11
2010-11-01,01Y,59,1346.4399999999998
2010-11-01,06L,54,987.8799999999999
2010-11-01,07R,95,3091.69
2010-11-01,01F,45,1618.7000000000003
2010-11-01,99N,95,3057.39
2010-11-01,04E,5,322.14
2010-11-01,08D,91,2897.0800000000004
2010-11-01,00L,38,913.1499999999999
2010-11-01,00D,42,912.12
2010-11-01,04H,2,97.24
2010-11-01,99Q,87,2822.54
2010-11-01,99G,128,2647.8399999999997
2010-11-01,01V,57,1568.05
2010-11-01,00P,31,856.75
2010-11-01,5C1,1,45.76
2010-11-01,06H,57,1908.45
2010-11-01,NQV,1,26.71
2010-11-01,5K7,1,53.38
2010-11-01,08N,97,3446.0799999999995
2010-11-01,07X,141,5182.6
2010-11-01,05A,13,253.46
2010-11-01,07K,108,1043.15
2010-11-01,99K,35,1454.06
2010-11-01,04N,3,57.26
2010-11-01,03Q,50,1212.6799999999998
2010-11-01,07L,108,2968.2599999999993
2010-11-01,10R,40,856.79
2010-11-01,06W,40,1493.18
2010-11-01,15F,86,3010.9500000000007
2010-11-01,10A,72,1900.03
2010-11-01,05V,29,535.8
2010-11-01,04J,17,179.4
2010-11-01,03K,23,427.55999999999995
2010-11-01,04G,47,1184.75
2010-11-01,07J,20,1062.2399999999998
2010-11-01,04C,24,1068.82
2010-11-01,11X,49,1938.7300000000005
2010-11-01,10D,80,1643.1600000000003
2010-11-01,08P,57,2163.95
2010-11-01,01X,44,1714.34
2010-11-01,10C,13,648.5899999999999
2010-11-01,08T,5,87.81
2010-11-01,04D,14,895.19
2010-11-01,04Y,39,1506.13
2010-11-01,02Y,27,598.6899999999999
2010-11-01,09N,32,786.0499999999998
2010-11-01,NTP,1,19.09
2010-11-01,05J,9,171.77
2010-11-01,08X,78,1671.26
2010-11-01,08R,13,472.96999999999997
2010-11-01,12F,28,1226.0500000000002
2010-11-01,01J,68,3538.9700000000003
2010-11-01,03W,8,304.3299999999999
2010-11-01,03N,13,246.82
2010-11-01,03E,20,751.4300000000001
2010-11-01,06N,149,5144.430000000001
2010-11-01,05L,147,4146.210000000001
