pct,month,drug,pregab_mg
07J,2012-01-01,pregabalin,6763675.0
02X,2012-01-01,pregabalin,14905950.0
10J,2012-01-01,pregabalin,4349475.0
01A,2012-01-01,pregabalin,9354425.0
06K,2012-01-01,pregabalin,7611575.0
09X,2012-01-01,pregabalin,5043550.0
01R,2012-01-01,pregabalin,4245800.0
08X,2012-01-01,pregabalin,4181675.0
08L,2012-01-01,pregabalin,7405050.0
00Q,2012-01-01,pregabalin,3544300.0
08M,2012-01-01,pregabalin,4732250.0
07V,2012-01-01,pregabalin,5047875.0
03W,2012-01-01,pregabalin,6779375.0
08K,2012-01-01,pregabalin,5413200.0
02Y,2012-01-01,pregabalin,9215000.0
05L,2012-01-01,pregabalin,10046175.0
14Y,2012-01-01,pregabalin,2439475.0
01J,2012-01-01,pregabalin,7355500.0
08J,2012-01-01,pregabalin,2858075.0
01W,2012-01-01,pregabalin,7494200.0
01H,2012-01-01,pregabalin,7283775.0
01K,2012-01-01,pregabalin,10933150.0
05T,2012-01-01,pregabalin,6131500.0
01Y,2012-01-01,pregabalin,6744975.0
00C,2012-01-01,pregabalin,3635575.0
05Y,2012-01-01,pregabalin,9635625.0
05Q,2012-01-01,pregabalin,6419700.0
00D,2012-01-01,pregabalin,11244175.0
02M,2012-01-01,pregabalin,5767200.0
99F,2012-01-01,pregabalin,5017225.0
01C,2012-01-01,pregabalin,6252950.0
09H,2012-01-01,pregabalin,3133250.0
04J,2012-01-01,pregabalin,7898225.0
11A,2012-01-01,pregabalin,11025825.0
00K,2012-01-01,pregabalin,8450475.0
06H,2012-01-01,pregabalin,12393450.0
10R,2012-01-01,pregabalin,3664325.0
03M,2012-01-01,pregabalin,4046000.0
01X,2012-01-01,pregabalin,12740650.0
02P,2012-01-01,pregabalin,7690325.0
08R,2012-01-01,pregabalin,2395150.0
15D,2012-01-01,pregabalin,5790400.0
09A,2012-01-01,pregabalin,4212800.0
08A,2012-01-01,pregabalin,4585800.0
01F,2012-01-01,pregabalin,6389300.0
08N,2012-01-01,pregabalin,4835500.0
10D,2012-01-01,pregabalin,5155225.0
12D,2012-01-01,pregabalin,4535125.0
99K,2012-01-01,pregabalin,4719450.0
05A,2012-01-01,pregabalin,9338200.0
01G,2012-01-01,pregabalin,6024875.0
01V,2012-01-01,pregabalin,4492150.0
15C,2012-01-01,pregabalin,16652675.0
03L,2012-01-01,pregabalin,7249625.0
02D,2012-01-01,pregabalin,3018125.0
07L,2012-01-01,pregabalin,3565650.0
07W,2012-01-01,pregabalin,6262375.0
10L,2012-01-01,pregabalin,4709800.0
06M,2012-01-01,pregabalin,6451850.0
05N,2012-01-01,pregabalin,9635725.0
00X,2012-01-01,pregabalin,5723675.0
06N,2012-01-01,pregabalin,6893325.0
04E,2012-01-01,pregabalin,3432225.0
01E,2012-01-01,pregabalin,7156750.0
09F,2016-01-01,gabapentin,11644483.333333334
04G,2016-01-01,gabapentin,35085833.333333336
03X,2016-01-01,gabapentin,5194450.0
05Y,2016-01-01,gabapentin,11211416.666666666
09D,2016-01-01,gabapentin,14578616.666666666
03M,2016-01-01,gabapentin,6666366.666666667
01J,2016-01-01,gabapentin,12711983.333333334
99N,2016-01-01,gabapentin,22801733.333333332
08J,2016-01-01,gabapentin,3088950.0
01W,2016-01-01,gabapentin,17770783.333333332
11J,2016-01-01,gabapentin,28470450.0
08G,2016-01-01,gabapentin,4324150.0
02F,2016-01-01,gabapentin,12215083.333333334
07Q,2016-01-01,gabapentin,7610483.333333333
99K,2016-01-01,gabapentin,6503833.333333333
06T,2016-01-01,gabapentin,16523050.0
07R,2016-01-01,gabapentin,6042433.333333333
07H,2016-01-01,gabapentin,7016300.0
99H,2016-01-01,gabapentin,5107400.0
06M,2016-01-01,gabapentin,22389900.0
10D,2016-01-01,gabapentin,5477766.666666667
05R,2016-01-01,gabapentin,7500133.333333333
05A,2016-01-01,gabapentin,17827350.0
99J,2016-01-01,gabapentin,15489083.333333334
08L,2016-01-01,gabapentin,9569216.666666666
06P,2016-01-01,gabapentin,7368516.666666667
07J,2016-01-01,gabapentin,9914366.666666666
06W,2016-01-01,gabapentin,10642433.333333334
10X,2016-01-01,gabapentin,12589983.333333334
08X,2016-01-01,gabapentin,5421000.0
10C,2016-01-01,gabapentin,1902816.6666666667
02G,2016-01-01,gabapentin,7501516.666666667
02P,2016-01-01,gabapentin,14393516.666666666
05N,2016-01-01,gabapentin,10591300.0
06L,2016-01-01,gabapentin,19644266.666666668
06A,2016-01-01,gabapentin,6482733.333333333
15F,2016-01-01,gabapentin,24921683.333333332
11X,2016-01-01,gabapentin,25552783.333333332
04M,2016-01-01,gabapentin,5125083.333333333
00P,2016-01-01,gabapentin,18328933.333333332
09W,2016-01-01,gabapentin,11444333.333333334
02Y,2016-01-01,gabapentin,13918566.666666666
04V,2016-01-01,gabapentin,14818700.0
07K,2016-01-01,gabapentin,10985300.0
08N,2016-01-01,gabapentin,3172316.6666666665
01E,2016-01-01,gabapentin,7759483.333333333
05J,2016-01-01,gabapentin,6859500.0
08Y,2016-01-01,gabapentin,4084933.3333333335
15A,2016-01-01,gabapentin,13537716.666666666
08D,2016-01-01,gabapentin,7681616.666666667
00M,2016-01-01,gabapentin,20835016.666666668
04C,2016-01-01,gabapentin,11871116.666666666
03V,2016-01-01,gabapentin,4936983.333333333
07T,2016-01-01,gabapentin,5758833.333333333
03E,2016-01-01,gabapentin,5500541.666666667
03J,2016-01-01,gabapentin,5899650.0
03Q,2016-01-01,gabapentin,16235600.0
14L,2016-01-01,gabapentin,27935300.0
00N,2016-01-01,gabapentin,11324666.666666666
12D,2016-01-01,gabapentin,10190716.666666666
05T,2016-01-01,gabapentin,12137150.0
05W,2016-01-01,gabapentin,15732533.333333334
06K,2016-01-01,gabapentin,19141133.333333332
07L,2016-01-01,gabapentin,3489866.6666666665
03H,2016-01-01,gabapentin,7851383.333333333
00C,2016-01-01,gabapentin,6312383.333333333
08F,2016-01-01,gabapentin,6339783.333333333
01D,2016-01-01,gabapentin,13872833.333333334
00K,2016-01-01,gabapentin,20500233.333333332
09N,2016-01-01,gabapentin,4791833.333333333
09Y,2016-01-01,gabapentin,7940266.666666667
09L,2016-01-01,gabapentin,3710366.6666666665
09C,2016-01-01,gabapentin,5063333.333333333
01H,2016-01-01,gabapentin,16515083.333333334
08W,2016-01-01,gabapentin,3890733.3333333335
10R,2016-01-01,gabapentin,8671550.0
12F,2016-01-01,gabapentin,20240700.0
01A,2016-01-01,gabapentin,24784083.333333332
03R,2016-01-01,gabapentin,20846383.333333332
04L,2016-01-01,gabapentin,7742550.0
11E,2016-01-01,gabapentin,7552400.0
06H,2016-01-01,gabapentin,37988600.0
06N,2016-01-01,gabapentin,16997016.666666668
06Q,2016-01-01,gabapentin,9406783.333333334
01V,2016-01-01,gabapentin,7409900.0
01K,2016-01-01,gabapentin,17808750.0
01X,2016-01-01,gabapentin,13845816.666666666
03Y,2016-01-01,gabapentin,9475200.0
07N,2016-01-01,gabapentin,7498716.666666667
00L,2016-01-01,gabapentin,26302150.0
01Y,2016-01-01,gabapentin,19754466.666666668
04F,2016-01-01,gabapentin,9617533.333333334
10K,2016-01-01,gabapentin,7892783.333333333
08M,2016-01-01,gabapentin,4137333.3333333335
06D,2016-01-01,gabapentin,5891450.0
07Y,2016-01-01,gabapentin,4277633.333333333
99D,2016-01-01,gabapentin,7255833.333333333
03W,2016-01-01,gabapentin,12056816.666666666
08C,2016-01-01,gabapentin,2398583.3333333335
02W,2016-01-01,gabapentin,3927558.3333333335
09P,2016-01-01,gabapentin,8414983.333333334
99E,2016-01-01,gabapentin,8237466.666666667
09X,2016-01-01,gabapentin,7226833.333333333
04Q,2016-01-01,gabapentin,4671250.0
05F,2016-01-01,gabapentin,7671966.666666667
99C,2016-01-01,gabapentin,16271583.333333334
99F,2016-01-01,gabapentin,5096016.666666667
03K,2016-01-01,gabapentin,7832400.0
09H,2016-01-01,gabapentin,3025016.6666666665
07V,2016-01-01,gabapentin,9528166.666666666
08V,2016-01-01,gabapentin,6394250.0
08K,2016-01-01,gabapentin,6980850.0
11A,2016-01-01,gabapentin,20123516.666666668
05Q,2016-01-01,gabapentin,9358066.666666666
02A,2016-01-01,gabapentin,10018666.666666666
99A,2016-01-01,gabapentin,35754483.333333336
10V,2016-01-01,gabapentin,9765400.0
11M,2016-01-01,gabapentin,23746983.333333332
02N,2016-01-01,gabapentin,6784216.666666667
02M,2016-01-01,gabapentin,13444000.0
00X,2016-01-01,gabapentin,6720250.0
10Q,2016-01-01,gabapentin,25886916.666666668
02D,2016-01-01,gabapentin,6377433.333333333
10L,2016-01-01,gabapentin,7525383.333333333
04E,2016-01-01,gabapentin,12140483.333333334
05V,2016-01-01,gabapentin,5313016.666666667
15D,2016-01-01,gabapentin,10529883.333333334
08A,2016-01-01,gabapentin,8738700.0
99Q,2016-01-01,gabapentin,14895300.0
09G,2016-01-01,gabapentin,19663133.333333332
09J,2016-01-01,gabapentin,8493283.333333334
09A,2016-01-01,gabapentin,3159450.0
04N,2016-01-01,gabapentin,4377750.0
07M,2016-01-01,gabapentin,8371250.0
99P,2016-01-01,gabapentin,41210600.0
04D,2016-01-01,gabapentin,8925950.0
05G,2016-01-01,gabapentin,11208983.333333334
05L,2016-01-01,gabapentin,28782366.666666668
00V,2016-01-01,gabapentin,12336800.0
00Y,2016-01-01,gabapentin,16217433.333333334
01F,2016-01-01,gabapentin,9996383.333333334
01C,2016-01-01,gabapentin,10233366.666666666
00Q,2016-01-01,gabapentin,10980716.666666666
01T,2016-01-01,gabapentin,11324183.333333334
03D,2016-01-01,gabapentin,7387333.333333333
02E,2016-01-01,gabapentin,9626433.333333334
02H,2016-01-01,gabapentin,21000083.333333332
08P,2016-01-01,gabapentin,2944350.0
10A,2016-01-01,gabapentin,9965100.0
15C,2016-01-01,gabapentin,32049750.0
99M,2016-01-01,gabapentin,4962283.333333333
00D,2016-01-01,gabapentin,25804750.0
08Q,2016-01-01,gabapentin,7538083.333333333
02R,2016-01-01,gabapentin,16923575.0
00J,2016-01-01,gabapentin,20047733.333333332
07P,2016-01-01,gabapentin,6144033.333333333
05X,2016-01-01,gabapentin,7838966.666666667
04R,2016-01-01,gabapentin,23465250.0
10E,2016-01-01,gabapentin,9585166.666666666
07X,2016-01-01,gabapentin,7559050.0
04K,2016-01-01,gabapentin,14635233.333333334
06V,2016-01-01,gabapentin,10428400.0
02X,2016-01-01,gabapentin,19735583.333333332
11N,2016-01-01,gabapentin,31130433.333333332
00R,2016-01-01,gabapentin,14745566.666666666
08R,2016-01-01,gabapentin,3406233.3333333335
03L,2016-01-01,gabapentin,13003133.333333334
99G,2016-01-01,gabapentin,4380733.333333333
04J,2016-01-01,gabapentin,23388566.666666668
15E,2016-01-01,gabapentin,44865466.666666664
03A,2016-01-01,gabapentin,9935983.333333334
07W,2016-01-01,gabapentin,5890933.333333333
05H,2016-01-01,gabapentin,8423433.333333334
06F,2016-01-01,gabapentin,18582816.666666668
03F,2016-01-01,gabapentin,15306816.666666666
02T,2016-01-01,gabapentin,9684883.333333334
03T,2016-01-01,gabapentin,17548050.0
14Y,2016-01-01,gabapentin,15626016.666666666
01R,2016-01-01,gabapentin,9243200.0
