month,pct,dementia_register,items,cost
2017-08-01,00L,2976,2011,12420.91449
2018-12-01,00L,2976,1895,13728.81482
2012-03-01,00L,2976,1278,58226.57
2014-03-01,00L,2976,1868,23441.390000000007
2015-11-01,00L,2976,1990,17904.100000000002
2018-11-01,00L,2976,1854,12581.230650000001
2011-01-01,00L,2976,1006,46739.91000000001
2019-01-01,00L,2976,1840,13103.629019999997
2017-07-01,00L,2976,1870,11949.60537
2016-10-01,00L,2976,2002,13385.129999999997
2018-08-01,00L,2976,1997,13613.255840000002
2018-01-01,00L,2976,2010,12006.99144
2013-04-01,00L,2976,1483,22945.689999999995
2014-04-01,00L,2976,1874,22954.480000000003
2016-04-01,00L,2976,1991,13636.830000000002
2018-05-01,00L,2976,1842,12982.46974
2017-06-01,00L,2976,1984,12052.595239999999
2018-04-01,00L,2976,1851,11764.479520000003
2014-10-01,00L,2976,2153,22900.07999999999
2012-08-01,00L,2976,1387,24232.44999999999
2015-06-01,00L,2976,2039,19391.089999999993
2013-12-01,00L,2976,1859,25196.48000000001
2011-10-01,00L,2976,1172,56142.34000000002
2013-05-01,00L,2976,1557,23377.340000000007
2017-10-01,00L,2976,1967,12298.1373
2015-02-01,00L,2976,1899,19947.579999999998
2012-07-01,00L,2976,1319,24149.239999999987
2014-11-01,00L,2976,1944,23848.01
2012-06-01,00L,2976,1219,50200.539999999986
2012-11-01,00L,2976,1516,24444.450000000008
2016-03-01,00L,2976,2107,15725.880000000001
2015-05-01,00L,2976,1920,19054.150000000016
2016-12-01,00L,2976,2044,12568.28
2018-03-01,00L,2976,1913,12056.806329999996
2012-09-01,00L,2976,1316,24156.730000000003
2016-08-01,00L,2976,2032,12146.27
2011-04-01,00L,2976,984,47182.75999999998
2012-12-01,00L,2976,1482,23168.230000000003
2015-09-01,00L,2976,2090,17729.839999999997
2013-01-01,00L,2976,1518,23792.630000000005
2011-03-01,00L,2976,1162,55883.39999999999
2017-03-01,00L,2976,2007,14069.967929999999
2014-05-01,00L,2976,1937,23323.389999999992
2010-10-01,00L,2976,984,45728.33999999999
2016-09-01,00L,2976,2004,13090.529999999999
2017-12-01,00L,2976,2005,12782.781960000004
2019-02-01,00L,2976,1744,12001.466550000001
2016-05-01,00L,2976,1935,14116.680000000002
2010-09-01,00L,2976,1093,51747.290000000015
2013-10-01,00L,2976,1776,23194.6
2014-08-01,00L,2976,1914,23903.759999999995
2017-11-01,00L,2976,1991,13596.175319999998
2011-02-01,00L,2976,998,46825.979999999996
2011-08-01,00L,2976,1196,55961.16000000003
2013-02-01,00L,2976,1350,21350.630000000005
2014-12-01,00L,2976,2261,24338.909999999993
2013-06-01,00L,2976,1434,21660.31
2014-06-01,00L,2976,1807,22343.73000000001
2010-12-01,00L,2976,1152,55480.679999999986
2015-04-01,00L,2976,1998,19701.04
2012-01-01,00L,2976,1210,55042.38000000002
2012-02-01,00L,2976,1268,57819.61999999998
2016-01-01,00L,2976,1917,15996.400000000012
2011-06-01,00L,2976,1192,56417.02000000003
2013-09-01,00L,2976,1631,22328.450000000023
2019-03-01,00L,2976,1783,12540.67337
2011-12-01,00L,2976,1302,61280.34000000001
2016-06-01,00L,2976,2026,13148.22
2016-11-01,00L,2976,2060,12848.77
2010-08-01,00L,2976,990,44963.52000000001
2012-04-01,00L,2976,1191,54019.32000000002
2013-03-01,00L,2976,1436,22210.710000000006
2014-07-01,00L,2976,1996,23319.079999999998
2017-04-01,00L,2976,1739,10977.028190000003
2011-11-01,00L,2976,1213,56435.59999999995
2017-02-01,00L,2976,1838,11925.518399999997
2018-07-01,00L,2976,1854,11510.63221
2013-11-01,00L,2976,1714,23336.31
2017-01-01,00L,2976,1913,12135.33137
2012-10-01,00L,2976,1474,23000.809999999994
2013-08-01,00L,2976,1661,23814.59
2015-10-01,00L,2976,2083,19676.31
2016-07-01,00L,2976,1929,12994.830000000002
2015-07-01,00L,2976,2137,19044.879999999997
2017-05-01,00L,2976,1993,12239.02245
2018-10-01,00L,2976,1969,13726.044790000002
2018-06-01,00L,2976,1876,11685.300199999998
2015-12-01,00L,2976,2194,19869.54
2011-07-01,00L,2976,1147,54410.87999999998
2012-05-01,00L,2976,1389,61897.479999999974
2011-09-01,00L,2976,1212,58205.44
2011-05-01,00L,2976,1089,51753.009999999995
2014-05-01,00M,2414,1049,10739.780000000002
2018-02-01,00M,2414,1011,4842.797530000001
2010-09-01,00M,2414,478,26466.079999999998
2016-12-01,00M,2414,1177,6033.02
2011-07-01,00M,2414,541,29659.76000000001
2015-09-01,00M,2414,1093,7154.7800000000025
2015-12-01,00M,2414,1216,6831.669999999998
2012-06-01,00M,2414,724,34111.570000000014
2017-04-01,00M,2414,1035,6119.388439999999
2011-01-01,00M,2414,501,28120.039999999997
2017-03-01,00M,2414,1199,6627.2180100000005
2017-02-01,00M,2414,1038,5806.36339
2016-11-01,00M,2414,1173,6804.200000000002
2011-03-01,00M,2414,562,32047.49999999999
2016-04-01,00M,2414,1040,5437.040000000001
2013-09-01,00M,2414,960,11738.73
2013-06-01,00M,2414,924,11897.080000000004
2011-12-01,00M,2414,658,36598.73000000001
2014-11-01,00M,2414,942,8655.070000000002
2014-02-01,00M,2414,919,9881.62
2013-03-01,00M,2414,893,12501.730000000009
2013-01-01,00M,2414,928,15322.900000000001
2014-09-01,00M,2414,1099,10214.840000000002
2011-11-01,00M,2414,623,32985.579999999994
2012-11-01,00M,2414,854,15002.500000000002
2012-05-01,00M,2414,780,39608.24999999998
2013-11-01,00M,2414,995,11010.539999999997
2012-07-01,00M,2414,789,17490.050000000003
2012-02-01,00M,2414,629,34586.85
2014-03-01,00M,2414,1008,10391.289999999999
2012-04-01,00M,2414,691,36171.54000000001
2017-09-01,00M,2414,1057,5658.664349999999
2011-09-01,00M,2414,648,33757.75000000003
2011-10-01,00M,2414,605,31493.680000000022
2017-06-01,00M,2414,1039,5452.562609999999
2012-12-01,00M,2414,874,13975.670000000007
2014-01-01,00M,2414,1056,11325.98999999999
2013-08-01,00M,2414,1013,12325.030000000006
2012-08-01,00M,2414,788,16588.949999999997
2011-06-01,00M,2414,606,32886.83
2015-11-01,00M,2414,973,4909.819999999997
2011-02-01,00M,2414,499,27126.539999999994
2010-10-01,00M,2414,455,25470.330000000005
2018-12-01,00M,2414,1098,5825.467629999999
2011-05-01,00M,2414,535,29574.429999999993
2016-01-01,00M,2414,971,4379.1
2012-09-01,00M,2414,776,16333.019999999999
2012-01-01,00M,2414,604,32903.210000000014
2010-11-01,00M,2414,467,26720.05
2015-05-01,00M,2414,912,6114.940000000003
2013-04-01,00M,2414,909,12682.310000000003
2015-03-01,00M,2414,1010,8274.540000000003
2017-11-01,00M,2414,1054,5408.51432
2010-08-01,00M,2414,473,26495.219999999994
2017-10-01,00M,2414,1107,5737.499089999999
2015-06-01,00M,2414,1012,6354.520000000002
2018-09-01,00M,2414,1070,6045.455950000002
2018-10-01,00M,2414,1133,5993.98893
2013-12-01,00M,2414,1088,12286.09
2016-03-01,00M,2414,1088,5548.5
2015-01-01,00M,2414,960,8945.229999999998
2015-08-01,00M,2414,937,5881.08
2018-05-01,00M,2414,1072,5402.78745
2017-12-01,00M,2414,1012,5073.50485
2012-10-01,00M,2414,834,14710.4
2013-05-01,00M,2414,1008,13342.330000000002
2014-04-01,00M,2414,999,10593.559999999996
2015-04-01,00M,2414,941,6602.530000000002
2014-08-01,00M,2414,1029,11021.110000000006
2013-10-01,00M,2414,1071,11794.369999999997
2017-07-01,00M,2414,1077,6070.414779999999
2015-02-01,00M,2414,954,8190.18
2016-10-01,00M,2414,1121,5716.97
2016-07-01,00M,2414,1080,5885.949999999999
2016-06-01,00M,2414,1062,5639.32
2019-03-01,00M,2414,1155,6468.21292
2014-12-01,00M,2414,1138,11200.220000000003
2017-05-01,00M,2414,1170,6267.95602
2017-08-01,00M,2414,1046,5396.82568
2012-03-01,00M,2414,713,38442.55
2018-01-01,00M,2414,1137,5750.33684
2018-07-01,00M,2414,1135,5442.057129999999
2015-07-01,00M,2414,1112,7282.350000000001
2011-04-01,00M,2414,505,27991.41
2013-07-01,00M,2414,996,11831.429999999997
2019-02-01,00M,2414,1072,6009.48647
2014-10-01,00M,2414,1117,10685.179999999998
2016-05-01,00M,2414,1017,4966.650000000001
