pct,month,total_list_size,list_size_over_55
5PJ,2012-03-01 00:00:00+00:00,0,0
01M,2012-03-01 00:00:00+00:00,186788,38089
07H,2012-03-01 00:00:00+00:00,291230,82886
5E1,2012-03-01 00:00:00+00:00,1021,397
06W,2012-03-01 00:00:00+00:00,208555,56017
08V,2012-03-01 00:00:00+00:00,278223,31423
5QL,2012-03-01 00:00:00+00:00,0,0
5NJ,2012-03-01 00:00:00+00:00,2551,658
5QF,2012-03-01 00:00:00+00:00,0,0
04N,2012-03-01 00:00:00+00:00,121763,38769
5PT,2012-03-01 00:00:00+00:00,913,94
08T,2012-03-01 00:00:00+00:00,184341,45555
10G,2012-03-01 00:00:00+00:00,136163,33701
08F,2012-03-01 00:00:00+00:00,255331,75108
5HG,2012-03-01 00:00:00+00:00,0,0
11H,2012-03-01 00:00:00+00:00,475686,104737
RXA,2012-03-01 00:00:00+00:00,0,0
08R,2012-03-01 00:00:00+00:00,212582,44083
04H,2012-03-01 00:00:00+00:00,128014,41168
720,2012-03-01 00:00:00+00:00,0,0
05N,2012-03-01 00:00:00+00:00,292609,104680
117,2012-03-01 00:00:00+00:00,0,0
RNU,2012-03-01 00:00:00+00:00,0,0
08G,2012-03-01 00:00:00+00:00,280582,64182
AC2,2012-03-01 00:00:00+00:00,0,0
5QH,2012-03-01 00:00:00+00:00,0,0
03A,2012-03-01 00:00:00+00:00,239089,65145
RYG,2012-03-01 00:00:00+00:00,0,0
5ZW,2012-03-01 00:00:00+00:00,2138,659
5HX,2012-03-01 00:00:00+00:00,4167,824
05L,2012-03-01 00:00:00+00:00,532319,114703
09Y,2012-03-01 00:00:00+00:00,349260,96370
5J5,2012-03-01 00:00:00+00:00,6105,1681
03C,2012-03-01 00:00:00+00:00,359415,80903
5H1,2012-03-01 00:00:00+00:00,0,0
09J,2012-03-01 00:00:00+00:00,249475,69028
06K,2012-03-01 00:00:00+00:00,566492,152524
RRE,2012-03-01 00:00:00+00:00,0,0
02F,2012-03-01 00:00:00+00:00,254410,79561
RJ1,2012-03-01 00:00:00+00:00,0,0
02N,2012-03-01 00:00:00+00:00,155634,50141
5F5,2012-03-01 00:00:00+00:00,6324,1096
5NP,2012-03-01 00:00:00+00:00,0,0
