bnf_code,squ
1003020U0BBACAA,g
0409010X0BCAAAF,unit
090402000BBSCA0,g
0904010A0BHAGBF,g
0301011R0BMABBU,unit
1304000N0BBAKCA,g
1108010AAAAAAAA,ml
1501020R0BBACA0,unit
0205052C0AAAHAH,unit
0502010E0BBAAAA,unit
0402010ABBGAAAV,unit
0604011L0BSAAAI,unit
1203040E0BGAAAJ,ml
040201060AAAZAZ,unit
0906040G0CFAABD,unit
090402000BBRNA0,ml
0501013K0AAAAAA,unit
0906050P0CUAAAB,unit
1108010F0AACACA,ml
0605010S0BHAEBL,unit
0408010F0AACLCL,ml
0205052B0BBACAC,unit
0501030V0AAAVAV,unit
190700000BBBRBA,g
0802040AKBCAAAC,unit
030902000BEDMAY,ml
0411000F0BKABAF,unit
1203050A0BEAAAB,unit
0301030S0BKACAP,unit
090401080BLAGBD,g
1001010J0BCAAAD,unit
0408010W0BBANBV,unit
0407020ADBBADAD,unit
0501020R0BBADAJ,unit
090402000BBJUA0,g
190205500BBNHA0,ml
0802010G0AACKCK,ml
0407010ABBBAIAA,unit
040702040BSAAAC,unit
0409010H0BFABAM,unit
0906025P0AABPBP,unit
1502010I0BFABAJ,unit
0402010ABBBAHAV,unit
0606020A0AAACAC,unit
0904010AMBBAAAA,g
0906040N0AAEXEX,unit
0603020G0AABVBV,ml
090402000BBKHA0,ml
1304000F0AAFJFJ,g
0402010D0AAA6A6,ml
0402010ABAAAJAJ,ml
0902021Q0AAAEAE,unit
1106000X0AAAEAE,ml
0904010H0BLABAA,g
0901030N0BBACAC,unit
0303010J0BBADAB,unit
0409010W0BDACAD,unit
1304000G0AADFDF,g
1902070Q0BCABAH,unit
0401010Z0AAAEAE,ml
0107020J0BFACAE,g
0410030A0BFAAAL,unit
1304000N0AACGCG,g
0310000N0BCACAC,unit
0501011J0BBABAB,unit
0409010P0BBACAC,unit
0205051L0AAAQAQ,ml
1310020H0BKABAB,g
0407020Q0BIADDV,unit
0102000L0AAAFAF,ml
0304010I0BEAEAD,unit
091200000BFQYA0,unit
090602700BBDTA0,unit
0408010W0AAA7A7,ml
090603100BBEAA0,unit
190500000AAACAC,unit
0410030E0AAAMAM,unit
091200000AACVCV,unit
091104000BBNRA0,unit
0602010V0AACVCV,ml
0411000F0BBAAAA,unit
0105010B0BDALBC,unit
090402000BBJWA0,g
0803042A0BBAAAA,unit
1304000U0BBAAAA,g
090402000BBMIA0,g
090402000BBJFA0,ml
1304000T0AAAAAA,g
0407010X0DCAAAH,unit
1203010E0BBACAA,ml
0206040AGBCAAAC,unit
040702040BTACAX,unit
1309000I0BGAAAA,ml
0801030P0AABPBP,unit
0206010K0BDAEAG,unit
0202020L0AABDBD,unit
0103010T0BBAAAA,unit
0803020H0BDACAD,unit
091200000BEGLA0,unit
0107020J0BCAFAC,g
0407010X0CVAAA0,unit
090501300BBDGA0,unit
0211000P0AAAIAI,ml
090402000BBEMA0,g
0206040AFBCAAAA,unit
0904010A0BGAPBF,g
0601023U0BBAAAA,unit
0904010U0BHABAA,g
0904010AABLAQAL,g
1502010C0AAABAB,unit
091200000AACNCN,unit
1305020C0AABNBN,g
0105000H0BDACAL,unit
0410020B0BBAPBK,unit
1303000E0AAABAB,g
0702020T0AAAFAF,unit
0101010I0AABGBG,ml
0206010F0BVABBI,unit
0904010ALBBAKAA,g
0408010C0BGAAAG,unit
1305010I0BTAAAP,unit
0906040C0BBAAAA,unit
0904010Z0BBABAA,g
1304000G0AACBCB,g
0408010G0AAARAR,ml
0501080W0BCACAI,ml
