month,pct,items_more_than_two,all_items,items_percent_more_than_two
2018-12-01,06A,260,9142,2.84401662655874
2019-07-01,07R,130,4571,2.84401662655874
2018-04-01,07W,217,7637,2.841429880843263
2017-05-01,09G,396,13958,2.837082676601232
2017-11-01,00N,214,7543,2.83706747978258
2019-05-01,10X,230,8108,2.836704489393192
2017-06-01,10X,224,7904,2.834008097165992
2018-06-01,10V,158,5578,2.832556471853711
2017-08-01,08J,92,3248,2.832512315270936
2019-02-01,07Q,186,6567,2.8323435358611238
2017-02-01,06A,226,7986,2.8299524167292764
2018-07-01,10X,223,7880,2.82994923857868
2018-05-01,08Y,102,3605,2.8294036061026353
2017-01-01,09G,419,14813,2.8285965030716262
2017-06-01,08X,178,6301,2.8249484208855735
2017-04-01,10R,156,5524,2.8240405503258508
2017-09-01,09G,392,13897,2.820752680434626
2018-08-01,08Q,143,5070,2.8205128205128207
2017-05-01,08L,205,7269,2.820195350116935
2018-03-01,08Y,102,3619,2.818458137607074
2017-05-01,08V,184,6533,2.816470228072861
2018-06-01,09A,84,2988,2.8112449799196786
2018-09-01,10X,210,7472,2.810492505353319
2018-03-01,08X,183,6514,2.8093337427080134
2017-01-01,06A,262,9331,2.807844818347444
2018-07-01,10C,55,1959,2.807554874936192
2018-07-01,06A,235,8376,2.805635148042025
2017-06-01,10R,165,5883,2.8046914839367667
2017-12-01,09G,442,15770,2.8027901077996193
2018-11-01,10V,167,5960,2.802013422818792
2018-09-01,07W,217,7746,2.8014459075651947
2018-02-01,10X,213,7604,2.801157285639137
2018-08-01,06A,243,8680,2.799539170506913
2017-01-01,08Q,164,5859,2.7991124765318314
2017-11-01,10R,175,6253,2.798656644810491
2017-09-01,10X,222,7936,2.7973790322580645
2019-07-01,08J,98,3506,2.795208214489447
2018-04-01,06A,233,8336,2.79510556621881
2019-06-01,10X,213,7626,2.7930763178599527
2018-12-01,10X,235,8420,2.7909738717339665
2017-07-01,10X,219,7852,2.789098318899643
2018-01-01,00N,210,7532,2.7881040892193307
2018-12-01,08Y,99,3553,2.786377708978328
2017-12-01,10V,190,6823,2.784698812838927
2017-04-01,10X,206,7399,2.784160021624544
2017-03-01,09G,408,14655,2.7840327533265095
2017-09-01,08Y,100,3593,2.783189535207348
2018-07-01,08J,102,3666,2.7823240589198037
2019-07-01,10X,201,7226,2.781621920841406
2019-02-01,10X,221,7952,2.779175050301811
2018-06-01,06A,244,8781,2.778726796492427
2018-02-01,09A,86,3095,2.7786752827140546
2017-12-01,07W,259,9330,2.7759914255091105
2017-02-01,03A,162,5836,2.7758738862234407
2018-02-01,06A,227,8195,2.7699816961561927
2018-11-01,06A,250,9031,2.768242719521648
2018-10-01,08Y,101,3650,2.767123287671233
2017-04-01,08V,164,5928,2.766531713900135
2019-04-01,09A,78,2822,2.7639971651311126
2019-06-01,07Q,177,6408,2.762172284644195
2017-06-01,07W,231,8365,2.761506276150628
2019-05-01,06A,258,9346,2.760539268136101
2018-09-01,08X,162,5871,2.7593254982115485
2018-04-01,09G,366,13267,2.758724655159418
2018-10-01,07W,238,8632,2.7571825764596847
2017-07-01,09G,364,13206,2.756322883537786
2019-05-01,08X,176,6387,2.7555973070299045
2019-06-01,09D,165,5989,2.755050926698948
2018-06-01,10X,215,7812,2.7521761392729136
2017-07-01,07W,222,8073,2.749907097733185
2017-02-01,08L,183,6661,2.7473352349497073
2017-10-01,07W,247,8991,2.747191636080525
