month,pct,list_size
2017-07-01,10W,144383
2017-07-01,10X,282567
2017-07-01,10Y,213512
2017-07-01,112,767
2017-07-01,11A,559383
2017-07-01,11C,155016
2017-07-01,11D,163344
2017-07-01,11E,203717
2017-07-01,11H,507903
2017-07-01,11J,796802
2017-07-01,11M,639910
2017-07-01,11N,570823
2017-07-01,11T,218922
2017-07-01,11X,570991
2017-07-01,12A,268364
2017-07-01,12D,234305
2017-07-01,12F,335890
2017-07-01,13P,722328
2017-07-01,13T,519529
2017-07-01,14L,629041
2017-07-01,99A,523576
2017-07-01,99C,218503
2017-07-01,99D,165955
2017-07-01,99E,277127
2017-07-01,99F,184767
2017-07-01,99G,187620
2017-07-01,99H,306586
2017-07-01,99J,488298
2017-07-01,99K,170132
2017-07-01,99M,226688
2017-07-01,99N,486475
2017-07-01,99P,922521
2017-07-01,99Q,291485
2017-08-01,00C,108070
2017-08-01,00D,291393
2017-08-01,00J,256065
2017-08-01,00K,296639
2017-08-01,00L,324558
2017-08-01,00M,295081
2017-08-01,00N,156636
2017-08-01,00P,284198
2017-08-01,00Q,174250
2017-08-01,00R,173180
2017-08-01,00T,307820
2017-08-01,00V,203187
2017-08-01,00X,182614
2017-08-01,00Y,253377
2017-08-01,01A,380411
2017-08-01,01C,208196
2017-08-01,01D,231963
2017-08-01,01E,213988
2017-08-01,01F,130844
2017-08-01,01G,268668
2017-08-01,01H,323636
2017-08-01,01J,164173
2017-08-01,01K,359533
2017-08-01,01R,183990
2017-08-01,01T,154669
2017-08-01,01V,124662
2017-08-01,01W,310944
2017-08-01,01X,197157
2017-08-01,01Y,246915
2017-08-01,02A,241152
2017-08-01,02D,105832
2017-08-01,02E,217660
2017-08-01,02F,262343
2017-08-01,02G,112952
2017-08-01,02H,326729
2017-08-01,02M,151493
2017-08-01,02N,158876
2017-08-01,02P,258770
2017-08-01,02Q,116715
2017-08-01,02R,332051
2017-08-01,02T,220374
2017-08-01,02V,216188
2017-08-01,02W,138123
2017-08-01,02X,319061
2017-08-01,02Y,302766
2017-08-01,03A,246926
2017-08-01,03C,373702
2017-08-01,03D,144117
2017-08-01,03E,162523
2017-08-01,03F,296713
2017-08-01,03G,278796
2017-08-01,03H,169451
2017-08-01,03J,192681
2017-08-01,03K,173723
2017-08-01,03L,262134
2017-08-01,03M,119991
2017-08-01,03N,592058
2017-08-01,03Q,352516
2017-08-01,03R,371022
2017-08-01,03T,248800
2017-08-01,03V,77338
2017-08-01,03W,329012
2017-08-01,03X,97646
2017-08-01,03Y,103957
2017-08-01,04C,398053
2017-08-01,04D,237264
2017-08-01,04E,192719
2017-08-01,04F,291487
2017-08-01,04G,678561
2017-08-01,04H,134092
2017-08-01,04J,292606
2017-08-01,04K,368063
2017-08-01,04L,151731
2017-08-01,04M,93915
2017-08-01,04N,126098
2017-08-01,04Q,133307
2017-08-01,04R,550926
2017-08-01,04V,387251
2017-08-01,04X,331737
2017-08-01,04Y,132557
2017-08-01,05A,505470
2017-08-01,05C,318837
2017-08-01,05D,140991
2017-08-01,05F,186835
2017-08-01,05G,217248
2017-08-01,05H,190738
2017-08-01,05J,177401
2017-08-01,05L,566058
2017-08-01,05N,308151
2017-08-01,05P,248797
2017-08-01,05Q,217580
2017-08-01,05R,283718
2017-08-01,05T,308923
2017-08-01,05V,148645
2017-08-01,05W,289382
2017-08-01,05X,184760
2017-08-01,05Y,283988
2017-08-01,06A,277462
2017-08-01,06D,115785
2017-08-01,06F,475091
2017-08-01,06H,954082
2017-08-01,06K,595274
2017-08-01,06L,405281
2017-08-01,06M,239050
2017-08-01,06N,642802
2017-08-01,06P,232390
2017-08-01,06Q,389623
2017-08-01,06T,348361
2017-08-01,06V,173329
2017-08-01,06W,233022
2017-08-01,06Y,226038
2017-08-01,07G,174888
2017-08-01,07H,310761
2017-08-01,07J,174632
2017-08-01,07K,249823
2017-08-01,07L,223891
2017-08-01,07M,419242
2017-08-01,07N,239882
2017-08-01,07P,374587
2017-08-01,07Q,347607
2017-08-01,07R,276442
2017-08-01,07T,314456
2017-08-01,07V,410018
2017-08-01,07W,434468
2017-08-01,07X,336411
2017-08-01,07Y,311682
2017-08-01,08A,293232
2017-08-01,08C,215450
2017-08-01,08D,315413
2017-08-01,08E,264637
2017-08-01,08F,276663
2017-08-01,08G,309476
2017-08-01,08H,247815
2017-08-01,08J,207340
2017-08-01,08K,406030
2017-08-01,08L,326521
2017-08-01,08M,395279
2017-08-01,08N,314127
2017-08-01,08P,215990
2017-08-01,08Q,325530
2017-08-01,08R,225388
2017-08-01,08T,194109
2017-08-01,08V,316459
2017-08-01,08W,309331
2017-08-01,08X,398407
2017-08-01,08Y,246334
2017-08-01,09A,220202
