month,pct,total_items,total_cost
2010-10-01,06P,3,133.6
2010-10-01,07R,13,753.85
2010-10-01,07P,7,553.95
2010-10-01,02N,1,31.63
2010-10-01,01H,3,241.11
2010-10-01,00M,4,124.0
2010-10-01,03R,15,1120.3600000000001
2010-10-01,07M,19,886.3700000000001
2010-10-01,04C,13,635.88
2010-10-01,99E,5,181.45
2010-10-01,99M,5,274.51
2010-10-01,00N,3,172.45999999999998
2010-10-01,99G,6,474.94
2010-10-01,07N,5,465.83
2010-10-01,00J,2,187.16
2010-11-01,05F,3,126.57
2010-11-01,02Y,3,122.75999999999999
2010-11-01,04H,1,10.57
2010-11-01,08T,2,60.78
2010-11-01,08F,7,304.3
2010-11-01,03H,7,335.89
2010-11-01,00K,2,121.49
2010-11-01,03N,3,154.39999999999998
2010-11-01,06D,1,31.65
2010-11-01,00D,3,156.93
2010-11-01,05A,7,324.37
2010-11-01,15F,12,1190.5800000000002
2010-11-01,02D,1,31.65
2010-11-01,99E,3,121.53
2010-11-01,08Q,4,211.43
2010-11-01,05W,9,296.6
2010-11-01,06H,19,862.45
2010-11-01,05H,1,56.7
2010-11-01,11E,5,329.65
2010-11-01,99F,2,126.54
2010-11-01,02M,3,217.64
2010-11-01,99A,12,639.0399999999998
2010-11-01,02E,3,527.52
2010-11-01,01C,3,178.2
2010-11-01,07W,11,840.6199999999998
2010-11-01,99Q,19,731.0799999999999
2010-11-01,05G,2,91.14
2010-11-01,99K,2,62.04
2010-11-01,01J,1,31.65
2010-11-01,03W,20,995.1700000000001
2010-11-01,01A,3,244.18
2010-11-01,08K,7,278.49
2010-11-01,99J,13,365.33
2010-11-01,10X,1,30.39
2010-11-01,11M,26,1279.9100000000003
2010-11-01,05D,1,31.65
2010-11-01,06Q,5,243.03
2010-11-01,07V,3,269.01
2010-11-01,06L,5,169.37
2010-11-01,00T,3,146.39
2010-11-01,04G,7,259.33000000000004
2010-11-01,14L,2,91.14
2010-11-01,05Q,3,92.43
2010-11-01,11N,6,268.54
2010-11-01,10E,3,154.4
2010-11-01,07Y,7,782.68
2010-11-01,03M,3,57.6
2010-11-01,07R,8,363.24999999999994
2010-11-01,00Y,1,85.03
2010-11-01,11X,13,797.21
2010-11-01,02T,2,154.37
2010-11-01,08W,9,519.27
2010-11-01,99G,6,417.17999999999995
2010-11-01,08D,8,472.05
2010-11-01,00L,5,186.06
2010-11-01,07N,7,377.58
2010-11-01,07P,3,366.90999999999997
2010-11-01,08R,5,280.94000000000005
2010-11-01,06F,7,274.65
2010-11-01,5K5,1,60.75
2010-11-01,03F,7,306.32
2010-11-01,02F,3,184.73
2010-11-01,00P,7,253.19
2010-11-01,99C,5,154.47
2010-11-01,03T,8,246.78
2010-11-01,05J,2,63.3
2010-11-01,03A,2,153.10999999999999
2010-11-01,09Y,1,30.39
2010-11-01,99D,5,185.92000000000002
2010-11-01,04N,2,51.47
2010-11-01,00N,1,21.11
2010-11-01,03Q,2,92.4
2010-11-01,12D,4,212.63
2010-11-01,04L,1,30.39
2010-11-01,00M,4,124.08
2010-11-01,05N,3,182.24
2010-11-01,04K,7,639.38
2010-11-01,10Q,12,473.78
2010-11-01,00Q,1,28.36
2010-11-01,11J,7,295.35999999999996
2010-11-01,00X,2,212.56
2010-11-01,04E,3,92.43
2010-11-01,12F,3,182.25
2010-11-01,10J,3,92.4
2010-11-01,08E,8,401.22
2010-11-01,15D,4,304.96
2010-11-01,15E,26,1031.8700000000001
2010-11-01,05T,3,92.34
2010-11-01,09A,7,592.5899999999999
