month,pct,pt_0_4
2014-02-01,13M,0
2014-02-01,13P,51850
2014-02-01,205,0
2014-02-01,209,0
2014-02-01,211,0
2014-02-01,212,0
2014-02-01,216,0
2014-02-01,218,0
2014-02-01,219,0
2014-02-01,305,0
2014-02-01,310,0
2014-02-01,313,0
2014-02-01,319,0
2014-02-01,325,0
2014-02-01,413,0
2014-02-01,414,0
2014-02-01,720,0
2014-02-01,725,0
2014-02-01,821,0
2014-02-01,905,0
2014-02-01,99A,28249
2014-02-01,99C,11987
2014-02-01,99D,8318
2014-02-01,99E,16394
2014-02-01,99F,8780
2014-02-01,99G,11102
2014-02-01,99H,17202
2014-02-01,99J,28362
2014-02-01,99K,8387
2014-02-01,99M,13714
2014-02-01,99N,25877
2014-02-01,99P,47153
2014-02-01,99Q,14028
2014-02-01,AA8,0
2014-02-01,AAR,0
2014-02-01,AAX,0
2014-02-01,AC2,0
2014-02-01,AC6,0
2014-02-01,ACD,0
2014-02-01,ACH,0
2014-02-01,ACV,0
2014-02-01,ADT,0
2014-02-01,NDJ,0
2014-02-01,NEN,0
2014-02-01,NI3,0
2014-02-01,NKI,0
2014-02-01,NLX,0
2014-02-01,NMS,0
2014-02-01,NQ7,0
2014-02-01,NQL,0
2014-02-01,NQT,0
2014-02-01,NR3,0
2014-02-01,NR5,0
2014-02-01,NTV,0
2014-02-01,NWE,0
2014-02-01,NYF,0
2014-02-01,R1D,0
2014-02-01,R1E,0
2014-02-01,R1G,0
2014-02-01,RBL,0
2014-02-01,RC3,0
2014-02-01,RCD,0
2014-02-01,RGD,0
2014-02-01,RHA,0
2014-02-01,RJ1,0
2014-02-01,RJ7,0
2014-02-01,RNU,0
2014-02-01,RRE,0
2014-02-01,RTD,0
2014-02-01,RTF,0
2014-02-01,RTR,0
2014-02-01,RW5,0
2014-02-01,RWN,0
2014-02-01,RX4,0
2014-02-01,RXA,0
2014-02-01,RY2,0
2014-02-01,RY4,0
2014-02-01,RY5,0
2014-02-01,RY6,3
2014-02-01,RY8,0
2014-02-01,RYG,0
2014-03-01,,0
2014-03-01,00C,6235
2014-03-01,00D,15779
2014-03-01,00F,11257
2014-03-01,00G,7528
2014-03-01,00H,8995
2014-03-01,00J,12862
2014-03-01,00K,17793
2014-03-01,00L,15728
2014-03-01,00M,17963
2014-03-01,00N,8238
2014-03-01,00P,15239
2014-03-01,00Q,11976
2014-03-01,00R,9044
2014-03-01,00T,19651
2014-03-01,00V,12877
2014-03-01,00W,14651
2014-03-01,00X,10132
2014-03-01,00Y,16933
2014-03-01,01A,23268
2014-03-01,01C,10686
2014-03-01,01D,15012
2014-03-01,01E,12569
2014-03-01,01F,7862
2014-03-01,01G,17414
