month,pct,glarg_items,glar_percent_items
2010-09-01,00P,482,1.0
2010-09-01,01V,279,1.0
2010-09-01,RY5,3,1.0
2010-09-01,00M,735,1.0
2010-09-01,09A,241,1.0
2010-09-01,05J,421,1.0
2010-09-01,5P7,1,1.0
2010-09-01,07J,465,1.0
2010-09-01,08R,364,1.0
2010-09-01,12F,569,1.0
2010-09-01,01D,488,1.0
2010-09-01,09Y,911,1.0
2010-09-01,06K,814,1.0
2010-09-01,10D,151,1.0
2010-09-01,5M6,2,1.0
2010-09-01,03Q,523,1.0
2010-09-01,5QH,2,1.0
2010-09-01,5QQ,1,1.0
2010-09-01,00D,874,1.0
2010-09-01,08C,275,1.0
2010-09-01,05D,396,1.0
2010-09-01,10K,231,1.0
2010-09-01,5NT,1,1.0
2010-09-01,03M,379,1.0
2010-09-01,04N,107,1.0
2010-09-01,14L,1146,1.0
2010-09-01,04D,461,1.0
2010-09-01,11E,442,1.0
2010-09-01,06Y,560,1.0
2010-09-01,04L,240,1.0
2010-09-01,05N,958,1.0
2010-09-01,99C,134,1.0
2010-09-01,03J,225,1.0
2010-09-01,5P8,2,1.0
2010-09-01,5PA,1,1.0
2010-09-01,99E,857,1.0
2010-09-01,04G,1175,1.0
2010-09-01,06F,692,1.0
2010-09-01,06D,342,1.0
2010-09-01,03T,833,1.0
2010-09-01,08G,809,1.0
2010-09-01,11J,1946,1.0
2010-09-01,07H,554,1.0
2010-09-01,RCD,2,1.0
2010-09-01,01E,361,1.0
2010-09-01,07G,511,1.0
2010-09-01,5PG,3,1.0
2010-09-01,07K,520,1.0
2010-09-01,5PD,2,1.0
2010-09-01,08X,399,1.0
2010-09-01,08H,284,1.0
2010-09-01,00Y,755,1.0
2010-09-01,10E,236,1.0
2010-09-01,01R,350,1.0
2010-09-01,04V,740,1.0
2010-09-01,08N,482,1.0
2010-09-01,05T,847,1.0
2010-09-01,05X,510,1.0
2010-09-01,01T,266,1.0
2010-09-01,08P,263,1.0
2010-09-01,NVE,2,1.0
2010-09-01,02E,297,1.0
2010-09-01,02P,385,1.0
2010-09-01,00X,351,1.0
2010-09-01,05V,371,1.0
2010-09-01,01K,1038,1.0
2010-09-01,06H,2171,1.0
2010-09-01,5M3,3,1.0
2010-09-01,01C,497,1.0
2010-09-01,03D,339,1.0
2010-09-01,08F,564,1.0
2010-09-01,99J,649,1.0
2010-09-01,03Y,140,1.0
2010-09-01,04F,377,1.0
2010-09-01,09X,538,1.0
2010-09-01,15E,2923,1.0
2010-09-01,02D,209,1.0
2010-09-01,RXA,1,1.0
2010-09-01,5PL,1,1.0
2010-09-01,01J,431,1.0
2010-09-01,09N,184,1.0
2010-09-01,5PM,3,1.0
2010-09-01,08L,299,1.0
2010-09-01,02G,227,1.0
2010-09-01,07L,357,1.0
2010-09-01,14Y,1231,1.0
2010-09-01,R1F,2,1.0
2010-09-01,01H,1243,1.0
2010-09-01,11A,773,1.0
2010-09-01,02A,497,1.0
2010-09-01,5PV,1,1.0
2010-09-01,07N,343,1.0
2010-09-01,5NE,1,1.0
2010-09-01,03L,424,1.0
2010-09-01,99H,408,1.0
2010-09-01,02H,780,1.0
2010-09-01,99M,441,1.0
2010-09-01,99A,984,1.0
2010-09-01,04Q,349,1.0
2010-09-01,10V,260,1.0
2010-09-01,5M1,8,1.0
2010-09-01,5M2,14,1.0
2010-09-01,03E,524,1.0
2010-09-01,04H,308,1.0
2010-09-01,05G,596,1.0
2010-09-01,RYG,1,1.0
2010-09-01,5FL,1,1.0
2010-09-01,02Q,328,1.0
2010-09-01,06T,881,1.0
2010-09-01,04E,387,1.0
2010-09-01,09H,314,1.0
2010-09-01,99G,334,1.0
2010-09-01,5K5,10,1.0
2010-09-01,02R,627,1.0
2010-09-01,02W,167,1.0
2010-09-01,RYF,1,1.0
2010-09-01,06L,452,1.0
2010-09-01,08Q,347,1.0
2010-09-01,10Q,1368,1.0
2010-09-01,08Y,249,1.0
2010-09-01,00C,273,1.0
2010-09-01,5LA,3,1.0
2010-09-01,03F,428,1.0
2010-09-01,RWX,2,1.0
2010-09-01,5MX,3,1.0
2010-09-01,01A,1002,1.0
2010-09-01,5NK,4,1.0
2010-09-01,10C,224,1.0
2010-09-01,05Y,554,1.0
2010-09-01,5P1,1,1.0
2010-09-01,03X,148,1.0
2010-09-01,5PF,10,1.0
2010-09-01,00K,507,1.0
2010-09-01,00L,287,1.0
2010-09-01,06A,206,1.0
2010-09-01,99Q,206,1.0
2010-09-01,5D7,1,1.0
2010-09-01,RY2,5,1.0
2010-09-01,99P,1301,1.0
2010-09-01,99D,421,1.0
2010-09-01,08K,508,1.0
2010-09-01,02N,320,1.0
2010-09-01,04J,461,1.0
2010-09-01,07X,320,1.0
2010-09-01,05F,457,1.0
2010-09-01,09J,276,1.0
2010-09-01,11M,1409,1.0
2010-09-01,00J,685,1.0
2010-09-01,15A,610,1.0
2010-09-01,03A,436,1.0
2010-09-01,06P,306,1.0
2010-09-01,06W,479,1.0
2010-09-01,05R,424,1.0
2010-09-01,01F,231,1.0
2010-09-01,01X,533,1.0
2010-09-01,03V,83,1.0
2010-09-01,09P,325,1.0
2010-10-01,06A,207,1.0
2010-10-01,05Q,658,1.0
2010-10-01,03E,463,1.0
2010-10-01,05X,473,1.0
2010-10-01,03M,383,1.0
2010-10-01,02X,802,1.0
2010-10-01,09C,130,1.0
2010-10-01,11N,1363,1.0
2010-10-01,07K,519,1.0
2010-10-01,11M,1326,1.0
2010-10-01,00T,615,1.0
2010-10-01,99F,409,1.0
2010-10-01,03A,426,1.0
2010-10-01,01Y,629,1.0
2010-10-01,04H,257,1.0
2010-10-01,03J,212,1.0
2010-10-01,04V,734,1.0
2010-10-01,11X,745,1.0
2010-10-01,08V,583,1.0
2010-10-01,09N,203,1.0
2010-10-01,RW5,1,1.0
2010-10-01,99K,325,1.0
2010-10-01,08H,275,1.0
2010-10-01,99N,996,1.0
2010-10-01,04J,432,1.0
2010-10-01,02H,754,1.0
2010-10-01,07P,492,1.0
2010-10-01,5PG,2,1.0
2010-10-01,5P8,2,1.0
2010-10-01,00R,316,1.0
2010-10-01,09F,322,1.0
2010-10-01,08X,371,1.0
2010-10-01,5N6,1,1.0
2010-10-01,03W,650,1.0
2010-10-01,05W,624,1.0
2010-10-01,10E,219,1.0
2010-10-01,12D,314,1.0
2010-10-01,10Q,1261,1.0
2010-10-01,15D,1073,1.0
2010-10-01,01T,244,1.0
2010-10-01,01F,200,1.0
2010-10-01,09H,335,1.0
2010-10-01,08T,487,1.0
2010-10-01,07V,854,1.0
2010-10-01,08E,430,1.0
2010-10-01,06Q,841,1.0
2010-10-01,00Q,400,1.0
2010-10-01,00V,500,1.0
2010-10-01,00N,382,1.0
2010-10-01,04L,220,1.0
2010-10-01,05V,383,1.0
2010-10-01,08C,258,1.0
2010-10-01,02A,427,1.0
2010-10-01,5QH,2,1.0
2010-10-01,09A,226,1.0
2010-10-01,5JE,1,1.0
2010-10-01,10L,318,1.0
2010-10-01,10D,148,1.0
2010-10-01,05H,660,1.0
2010-10-01,04D,423,1.0
