month,pct,s5_items,s3_items,s5_percent_items,s3_percent_items
2015-11-01,03Q,253529,88122,0.030958896782877672,0.010760740989396661
2015-11-01,10A,126075,77345,0.026475832075079433,0.01624250035175109
2015-11-01,08T,92540,42494,0.02285978532947215,0.010497122517728438
2015-11-01,06M,205891,99246,0.03169550663071581,0.015278240676241417
2015-11-01,07P,146877,39968,0.022973225978857256,0.0062514477823142275
2015-11-01,03E,102699,42698,0.02655950693489185,0.011042345369536338
2015-11-01,02M,247109,70307,0.04040164739851316,0.011495002705879852
2015-11-01,05W,360069,103560,0.0432034187513221,0.012425801848775975
2015-11-01,03K,204595,78320,0.03658610076873818,0.014005344276290107
2015-11-01,03R,245998,158044,0.024419028374843867,0.015688261369904734
2015-11-01,00Q,190585,70098,0.04204215664561011,0.015463289852527625
2015-11-01,09F,167193,69395,0.03274994721004604,0.013593168294373237
2015-11-01,01F,191935,63633,0.05225784037773432,0.017325256762739303
2015-11-01,07H,164445,69850,0.02249480975816079,0.009554942148484485
2015-11-01,05V,130570,46346,0.033663375526207774,0.011948861163648813
2015-11-01,99P,791531,311847,0.029910974218392426,0.011784311135107813
2015-11-01,99A,639798,181140,0.04527984453918626,0.012819657204036586
2015-11-01,00K,292487,155938,0.035037396446415195,0.018680014930786987
2015-11-01,06D,115928,33904,0.042313303425527776,0.01237483816971822
2015-11-01,03H,173591,64922,0.03405310205317895,0.012735657329564803
2015-11-01,99C,233099,121299,0.030748962729221573,0.016001005710414233
2015-11-01,02D,84319,38878,0.02699194393599197,0.012445508086475121
2015-11-01,05H,139847,73001,0.024375037474047043,0.01272392050342809
2015-11-01,01R,136120,52509,0.02930541726095966,0.011304717565058263
2015-11-01,04V,317606,98418,0.03430558744940399,0.010630426709808512
2015-11-01,02X,433933,125104,0.04512385863985466,0.013009324506963925
2015-11-01,01V,115068,44428,0.030356352362465422,0.01172065233392093
2015-11-01,07J,196298,81250,0.03235947839879779,0.013393960304752572
2015-11-01,09H,83022,30317,0.032004644455161234,0.011687080604503903
2015-11-01,04F,225624,80278,0.04818991985219913,0.01714618296765788
2015-11-01,04M,65477,29336,0.03181308905255036,0.01425338333224823
2015-11-01,99D,153597,55227,0.02675033974117496,0.009618293409935542
2015-11-01,03N,592752,181543,0.03482316647173984,0.01066534083525499
2015-11-01,08X,130098,42701,0.022175729935343374,0.007278558040623971
2015-11-01,09P,194302,76563,0.03551716239986795,0.01399522652788489
2015-11-01,09X,122951,37671,0.02965099650171731,0.00908477921461552
2015-11-01,10R,151105,86507,0.0332042490363725,0.01900929798080458
2015-11-01,08W,129357,44735,0.02880213856830725,0.00996052528161
2015-11-01,01J,218558,76331,0.04169723970752141,0.01456268818398236
2015-11-01,14L,510129,192548,0.03738287280242461,0.01411015133889909
2015-11-01,01H,365535,116550,0.03653531637304114,0.011649202192069007
2015-11-01,07N,111452,55012,0.024044462796580807,0.011868194266280581
2015-11-01,03V,88355,31422,0.0477804311946649,0.01699232311695728
2015-11-01,00N,160335,102300,0.030873795717855465,0.01969868900699544
2015-11-01,00P,355158,181561,0.030382308014486683,0.015531797750348342
2015-11-01,05J,147244,43357,0.042278655400704565,0.012449238421995789
2015-11-01,10C,46670,21707,0.02927624872579001,0.013616874460911157
2015-11-01,08J,75553,32310,0.022931406706267175,0.009806543097951006
2015-11-01,08V,152348,51631,0.023203749568017733,0.007863790755023522
2015-11-01,03X,61730,32217,0.030329323488545314,0.01582892944808787
2015-11-01,03W,239126,83980,0.029920884070369372,0.010508082953044085
2015-11-01,01A,431638,132904,0.03984037194857094,0.012267096023642201
2015-11-01,04D,156269,77356,0.022331847344476703,0.011054671004353644
2015-11-01,01X,266784,91095,0.04468930859751246,0.015259432974580175
2015-11-01,09G,390423,143560,0.031050112756804457,0.01141724280425807
2015-11-01,08E,109154,33611,0.019783238746395787,0.006091709305248628
2015-11-01,06N,350894,122763,0.031362609356513874,0.010972453254925171
2015-11-01,01G,135068,116606,0.017622950177993518,0.015214127168945364
2015-11-01,03M,146054,52639,0.037885710980277924,0.013654305532822446
2015-11-01,05Q,204040,66286,0.03571714277561971,0.01160334505991339
2015-11-01,99N,253731,150911,0.02224692436803263,0.013231751750098223
